conversation_id_str,created_at,favorite_count,full_text,text_cleaned,text_normalized,text_tokenized,text_nostopword,text_stemmed,text_final,Sentimen_Model
1925877712511496271,Fri May 23 11:33:48 +0000 2025,0,Gubernur Jawa Barat Dedi Mulyadi mencetuskan program pelatihan siswa bermasalah di barak militer. KawanWH yang males kerjain skripsi siap-siap ikut deh! ,gubernur jawa barat dedi mulyadi mencetuskan program pelatihan siswa bermasalah di barak militer kawanwh yang males kerjain skripsi siap siap ikut deh,gubernur jawa barat dedi mulyadi mencetuskan program pelatihan siswa bermasalah di barak militer kawanwh yang males kerjain skripsi siap siap ikut deh,"['gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'mencetuskan', 'program', 'pelatihan', 'siswa', 'bermasalah', 'di', 'barak', 'militer', 'kawanwh', 'yang', 'males', 'kerjain', 'skripsi', 'siap', 'siap', 'ikut', 'deh']","['gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'mencetuskan', 'program', 'pelatihan', 'siswa', 'bermasalah', 'barak', 'militer', 'kawanwh', 'males', 'kerjain', 'skripsi', 'deh']","['gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'cetus', 'program', 'latih', 'siswa', 'masalah', 'barak', 'militer', 'kawanwh', 'males', 'kerjain', 'skripsi', 'deh']",gubernur jawa barat dedi mulyadi cetus program latih siswa masalah barak militer kawanwh males kerjain skripsi deh,positif
1919106970620932466,Fri May 23 07:38:16 +0000 2025,0,@direktoridosen @Earthquakesale @ikhwanuddin terus selama ini yg dihasilkan kurikulum gimana ? buktinya mereka yg dikirim ke barak militer itu yg bermasalah,terus selama ini yg dihasilkan kurikulum gimana buktinya mereka yg dikirim ke barak militer itu yg bermasalah,terus selama ini yang dihasilkan kurikulum bagaimana buktinya mereka yang dikirim ke barak militer itu yang bermasalah,"['terus', 'selama', 'ini', 'yang', 'dihasilkan', 'kurikulum', 'bagaimana', 'buktinya', 'mereka', 'yang', 'dikirim', 'ke', 'barak', 'militer', 'itu', 'yang', 'bermasalah']","['dihasilkan', 'kurikulum', 'buktinya', 'dikirim', 'barak', 'militer', 'bermasalah']","['hasil', 'kurikulum', 'bukti', 'kirim', 'barak', 'militer', 'masalah']",hasil kurikulum bukti kirim barak militer masalah,negatif
1925790205987930176,Fri May 23 06:44:44 +0000 2025,0,@TirtoID @grok coba telaah berita di atas apakah penanganan kenakalan remaja dan orang dewasa bermasalah tipiring dimasukkan ke barak militer itu menjadi cara satu-satunya untuk mengatasi masalah tersebut? Barangkali kamu punya saran yang lebih menyentuh permasalahan dan berbasis data?,coba telaah berita di atas apakah penanganan kenakalan remaja dan orang dewasa bermasalah tipiring dimasukkan ke barak militer itu menjadi cara satu satunya untuk mengatasi masalah tersebut barangkali kamu punya saran yang lebih menyentuh permasalahan dan berbasis data,coba telaah berita di atas apakah penanganan kenakalan remaja dan orang dewasa bermasalah tipiring dimasukkan ke barak militer itu menjadi cara satu satunya untuk mengatasi masalah tersebut barangkali kamu punya saran yang lebih menyentuh permasalahan dan berbasis data,"['coba', 'telaah', 'berita', 'di', 'atas', 'apakah', 'penanganan', 'kenakalan', 'remaja', 'dan', 'orang', 'dewasa', 'bermasalah', 'tipiring', 'dimasukkan', 'ke', 'barak', 'militer', 'itu', 'menjadi', 'cara', 'satu', 'satunya', 'untuk', 'mengatasi', 'masalah', 'tersebut', 'barangkali', 'kamu', 'punya', 'saran', 'yang', 'lebih', 'menyentuh', 'permasalahan', 'dan', 'berbasis', 'data']","['coba', 'telaah', 'berita', 'penanganan', 'kenakalan', 'remaja', 'orang', 'dewasa', 'bermasalah', 'tipiring', 'dimasukkan', 'barak', 'militer', 'satunya', 'mengatasi', 'barangkali', 'saran', 'menyentuh', 'permasalahan', 'berbasis', 'data']","['coba', 'telaah', 'berita', 'tangan', 'nakal', 'remaja', 'orang', 'dewasa', 'masalah', 'tipiring', 'masuk', 'barak', 'militer', 'satu', 'atas', 'barangkali', 'saran', 'sentuh', 'masalah', 'bas', 'data']",coba telaah berita tangan nakal remaja orang dewasa masalah tipiring masuk barak militer satu atas barangkali saran sentuh masalah bas data,positif
1925749659902837172,Fri May 23 05:20:12 +0000 2025,1,@tempodotco Skr ini era ancam mengancam ya? Kl ga dukung wapres disuruh ke luar Indonesia. Siswa2 warga yg bermasalah dikirim ke barak. Skr kl ga dukung koperasi dipecat. Hidup jokowi! ,skr ini era ancam mengancam ya kl ga dukung wapres disuruh ke luar indonesia siswa warga yg bermasalah dikirim ke barak skr kl ga dukung koperasi dipecat hidup jokowi,skr ini era ancam mengancam iya kalau ga dukung wapres disuruh ke luar indonesia siswa warga yang bermasalah dikirim ke barak skr kalau ga dukung koperasi dipecat hidup jokowi,"['skr', 'ini', 'era', 'ancam', 'mengancam', 'iya', 'kalau', 'ga', 'dukung', 'wapres', 'disuruh', 'ke', 'luar', 'indonesia', 'siswa', 'warga', 'yang', 'bermasalah', 'dikirim', 'ke', 'barak', 'skr', 'kalau', 'ga', 'dukung', 'koperasi', 'dipecat', 'hidup', 'jokowi']","['skr', 'era', 'ancam', 'mengancam', 'iya', 'ga', 'dukung', 'wapres', 'disuruh', 'indonesia', 'siswa', 'warga', 'bermasalah', 'dikirim', 'barak', 'skr', 'ga', 'dukung', 'koperasi', 'dipecat', 'hidup', 'jokowi']","['skr', 'era', 'ancam', 'ancam', 'iya', 'ga', 'dukung', 'wapres', 'suruh', 'indonesia', 'siswa', 'warga', 'masalah', 'kirim', 'barak', 'skr', 'ga', 'dukung', 'koperasi', 'pecat', 'hidup', 'jokowi']",skr era ancam ancam iya ga dukung wapres suruh indonesia siswa warga masalah kirim barak skr ga dukung koperasi pecat hidup jokowi,negatif
1925567754217955744,Thu May 22 22:56:46 +0000 2025,838,@suryadelalu Bedanya Mulyadi dan Mulyono. Konten andalan Mulyono itu Esemka dikemas dari prestasi pelajar SMK. Konten andalan Mulyadi itu Barak dikemas dari pelajar SMK bermasalah. Beda memang miskin berprestasi dgn miskin bermasalah.,bedanya mulyadi dan mulyono konten andalan mulyono itu esemka dikemas dari prestasi pelajar smk konten andalan mulyadi itu barak dikemas dari pelajar smk bermasalah beda memang miskin berprestasi dgn miskin bermasalah,bedanya mulyadi dan mulyono konten andalan mulyono itu esemka dikemas dari prestasi pelajar smk konten andalan mulyadi itu barak dikemas dari pelajar smk bermasalah beda memang miskin berprestasi dengan miskin bermasalah,"['bedanya', 'mulyadi', 'dan', 'mulyono', 'konten', 'andalan', 'mulyono', 'itu', 'esemka', 'dikemas', 'dari', 'prestasi', 'pelajar', 'smk', 'konten', 'andalan', 'mulyadi', 'itu', 'barak', 'dikemas', 'dari', 'pelajar', 'smk', 'bermasalah', 'beda', 'memang', 'miskin', 'berprestasi', 'dengan', 'miskin', 'bermasalah']","['bedanya', 'mulyadi', 'mulyono', 'konten', 'andalan', 'mulyono', 'esemka', 'dikemas', 'prestasi', 'pelajar', 'smk', 'konten', 'andalan', 'mulyadi', 'barak', 'dikemas', 'pelajar', 'smk', 'bermasalah', 'beda', 'miskin', 'berprestasi', 'miskin', 'bermasalah']","['beda', 'mulyadi', 'mulyono', 'konten', 'andal', 'mulyono', 'esemka', 'kemas', 'prestasi', 'ajar', 'smk', 'konten', 'andal', 'mulyadi', 'barak', 'kemas', 'ajar', 'smk', 'masalah', 'beda', 'miskin', 'prestasi', 'miskin', 'masalah']",beda mulyadi mulyono konten andal mulyono esemka kemas prestasi ajar smk konten andal mulyadi barak kemas ajar smk masalah beda miskin prestasi miskin masalah,negatif
1925583364188512473,Thu May 22 16:25:25 +0000 2025,0,@lastchilld udh dm bermasalah otak lu jg,udh dm bermasalah otak lu jg,udh dm bermasalah otak kamu juga,"['udh', 'dm', 'bermasalah', 'otak', 'kamu', 'juga']","['udh', 'dm', 'bermasalah', 'otak']","['udh', 'dm', 'masalah', 'otak']",udh dm masalah otak,negatif
1925531162870706266,Thu May 22 12:43:17 +0000 2025,1,Salah satu yang terkemuka adalah mengirim siswa bermasalah ke barak militer.,salah satu yang terkemuka adalah mengirim siswa bermasalah ke barak militer,salah satu yang terkemuka adalah mengirim siswa bermasalah ke barak militer,"['salah', 'satu', 'yang', 'terkemuka', 'adalah', 'mengirim', 'siswa', 'bermasalah', 'ke', 'barak', 'militer']","['salah', 'terkemuka', 'mengirim', 'siswa', 'bermasalah', 'barak', 'militer']","['salah', 'muka', 'kirim', 'siswa', 'masalah', 'barak', 'militer']",salah muka kirim siswa masalah barak militer,netral
1925434021917405254,Thu May 22 12:26:47 +0000 2025,0,@tanyarlfes Pengen denger kalo pegawai pemprov yg bermasalah dibawa ke barak juga ,pengen denger kalo pegawai pemprov yg bermasalah dibawa ke barak juga,pengen denger kalau pegawai pemprov yang bermasalah dibawa ke barak juga,"['pengen', 'denger', 'kalau', 'pegawai', 'pemprov', 'yang', 'bermasalah', 'dibawa', 'ke', 'barak', 'juga']","['pengen', 'denger', 'pegawai', 'pemprov', 'bermasalah', 'dibawa', 'barak']","['ken', 'denger', 'pegawai', 'pemprov', 'masalah', 'bawa', 'barak']",ken denger pegawai pemprov masalah bawa barak,negatif
1925514041965097389,Thu May 22 11:28:16 +0000 2025,0,Di negara konoha semua yang bermasalah mau dibawa ke barak,di negara konoha semua yang bermasalah mau dibawa ke barak,di negara konoha semua yang bermasalah mau dibawa ke barak,"['di', 'negara', 'konoha', 'semua', 'yang', 'bermasalah', 'mau', 'dibawa', 'ke', 'barak']","['negara', 'konoha', 'bermasalah', 'dibawa', 'barak']","['negara', 'konoha', 'masalah', 'bawa', 'barak']",negara konoha masalah bawa barak,negatif
1925445885829505533,Thu May 22 06:57:26 +0000 2025,0,ga kebayang sih anak2 bermasalah lulusan barak ini dapet golden ticket buat jadi aparat apa ga makin2 tuh,ga kebayang sih anak bermasalah lulusan barak ini dapet golden ticket buat jadi aparat apa ga makin tuh,ga kebayang sih anak bermasalah lulusan barak ini dapat golden ticket buat jadi aparat apa ga makin tuh,"['ga', 'kebayang', 'sih', 'anak', 'bermasalah', 'lulusan', 'barak', 'ini', 'dapat', 'golden', 'ticket', 'buat', 'jadi', 'aparat', 'apa', 'ga', 'makin', 'tuh']","['ga', 'kebayang', 'sih', 'anak', 'bermasalah', 'lulusan', 'barak', 'golden', 'ticket', 'aparat', 'ga', 'tuh']","['ga', 'bayang', 'sih', 'anak', 'masalah', 'lulus', 'barak', 'golden', 'ticket', 'aparat', 'ga', 'tuh']",ga bayang sih anak masalah lulus barak golden ticket aparat ga tuh,negatif
